column_id,indent,name,estimate,margin_of_error
B05006001,0,Total:,58150,2002
B05006002,1,Europe:,3701,472
B05006003,2,Northern Europe:,1022,211
B05006004,3,Denmark,54,36
B05006005,3,Ireland,57,52
B05006006,3,Norway,10,15
B05006007,3,Sweden,65,49
B05006008,3,United Kingdom (inc. Crown Dependencies):,785,175
B05006009,4,"United Kingdom, excluding England and Scotland",230,105
B05006010,4,England,496,156
B05006011,4,Scotland,59,37
B05006012,3,Other Northern Europe,51,39
B05006013,2,Western Europe:,910,187
B05006014,3,Austria,14,18
B05006015,3,Belgium,54,44
B05006016,3,France,172,108
B05006017,3,Germany,465,124
B05006018,3,Netherlands,149,64
B05006019,3,Switzerland,56,43
B05006020,3,Other Western Europe,0,30
B05006021,2,Southern Europe:,526,148
B05006022,3,Greece,11,13
B05006023,3,Italy,153,87
B05006024,3,Portugal,49,48
B05006025,4,Azores Islands,0,30
B05006026,3,Spain,313,132
B05006027,3,Other Southern Europe,0,30
B05006028,2,Eastern Europe:,1189,389
B05006029,3,Albania,180,258
B05006030,3,Belarus,11,16
B05006031,3,Bosnia and Herzegovina,63,73
B05006032,3,Bulgaria,41,41
B05006033,3,Croatia,0,30
B05006034,3,Czechoslovakia (includes Czech Republic and Slovakia),32,31
B05006035,3,Hungary,38,35
B05006036,3,Latvia,41,70
B05006037,3,Lithuania,0,30
B05006038,3,Moldova,2,4
B05006039,3,North Macedonia (Macedonia),0,30
B05006040,3,Poland,23,20
B05006041,3,Romania,107,65
B05006042,3,Russia,363,148
B05006043,3,Serbia,0,30
B05006044,3,Ukraine,244,103
B05006045,3,Other Eastern Europe,44,46
B05006046,2,"Europe, n.e.c.",54,53
B05006047,1,Asia:,7766,663
B05006048,2,Eastern Asia:,3733,486
B05006049,3,China:,1925,352
B05006050,4,"China, excluding Hong Kong and Taiwan",1173,299
B05006051,4,Hong Kong,449,161
B05006052,4,Taiwan,303,129
B05006053,3,Japan,436,137
B05006054,3,Korea,1046,288
B05006055,3,Other Eastern Asia,326,210
B05006056,2,South Central Asia:,1677,412
B05006057,3,Afghanistan,0,30
B05006058,3,Bangladesh,40,46
B05006059,3,Bhutan,0,30
B05006060,3,India,1315,372
B05006061,3,Iran,139,122
B05006062,3,Kazakhstan,34,31
B05006063,3,Nepal,0,30
B05006064,3,Pakistan,46,51
B05006065,3,Sri Lanka,62,70
B05006066,3,Uzbekistan,41,58
B05006067,3,Other South Central Asia,0,30
B05006068,2,South Eastern Asia:,2093,426
B05006069,3,Burma (Myanmar),99,105
B05006070,3,Cambodia,32,33
B05006071,3,Indonesia,82,80
B05006072,3,Laos,48,47
B05006073,3,Malaysia,102,65
B05006074,3,Philippines,957,278
B05006075,3,Singapore,110,79
B05006076,3,Thailand,86,48
B05006077,3,Vietnam,577,361
B05006078,3,Other South Eastern Asia,0,30
B05006079,2,Western Asia:,215,158
B05006080,3,Armenia,19,20
B05006081,3,Azerbaijan,6,10
B05006082,3,Georgia,0,30
B05006083,3,Iraq,5,8
B05006084,3,Israel,96,147
B05006085,3,Jordan,62,61
B05006086,3,Kuwait,0,30
B05006087,3,Lebanon,0,30
B05006088,3,Saudi Arabia,0,30
B05006089,3,Syria,0,30
B05006090,3,Turkey,27,30
B05006091,3,United Arab Emirates,0,30
B05006092,3,Yemen,0,30
B05006093,3,Other Western Asia,0,30
B05006094,2,"Asia, n.e.c.",48,52
B05006095,1,Africa:,1798,479
B05006096,2,Eastern Africa:,144,80
B05006097,3,Eritrea,0,30
B05006098,3,Ethiopia,28,48
B05006099,3,Kenya,2,7
B05006100,3,Somalia,0,30
B05006101,3,Tanzania,0,30
B05006102,3,Uganda,5,9
B05006103,3,Zimbabwe,95,62
B05006104,3,Other Eastern Africa,14,19
B05006105,2,Middle Africa:,404,281
B05006106,3,Cameroon,0,30
B05006107,3,Congo,56,59
B05006108,3,Democratic Republic of Congo (Zaire),348,283
B05006109,3,Other Middle Africa,0,30
B05006110,2,Northern Africa:,75,64
B05006111,3,Algeria,5,8
B05006112,3,Egypt,13,21
B05006113,3,Morocco,55,61
B05006114,3,Sudan,0,30
B05006115,3,Other Northern Africa,2,3
B05006116,2,Southern Africa:,244,115
B05006117,3,South Africa,244,115
B05006118,3,Other Southern Africa,0,30
B05006119,2,Western Africa:,911,354
B05006120,3,Cabo Verde,265,210
B05006121,3,Ghana,190,108
B05006122,3,Ivory Coast,15,27
B05006123,3,Liberia,48,87
B05006124,3,Nigeria,393,292
B05006125,3,Senegal,0,30
B05006126,3,Sierra Leone,0,30
B05006127,3,Togo,0,30
B05006128,3,Other Western Africa,0,30
B05006129,2,"Africa, n.e.c.",20,34
B05006130,1,Oceania:,1695,312
B05006131,2,Australia and New Zealand Subregion:,630,171
B05006132,3,Australia,374,140
B05006133,3,Other Australian and New Zealand Subregion,256,113
B05006134,2,Fiji,6,9
B05006135,2,Marshall Islands,52,45
B05006136,2,Micronesia,134,121
B05006137,2,"Oceania, n.e.c.",873,231
B05006138,1,Americas:,43190,1610
B05006139,2,Latin America:,40902,1609
B05006140,3,Caribbean:,1533,495
B05006141,4,Bahamas,8,13
B05006142,4,Barbados,0,30
B05006143,4,Cuba,35,38
B05006144,4,Dominica,0,30
B05006145,4,Dominican Republic,1218,470
B05006146,4,Grenada,0,30
B05006147,4,Haiti,181,98
B05006148,4,Jamaica,48,50
B05006149,4,St. Lucia,0,30
B05006150,4,St. Vincent and the Grenadines,0,30
B05006151,4,Trinidad and Tobago,16,25
B05006152,4,West Indies,0,30
B05006153,4,Other Caribbean,27,40
B05006154,3,Central America:,23109,1309
B05006155,4,Belize,0,30
B05006156,4,Costa Rica,262,147
B05006157,4,El Salvador,1521,550
B05006158,4,Guatemala,1649,539
B05006159,4,Honduras,873,458
B05006160,4,Mexico,18486,1277
B05006161,4,Nicaragua,219,132
B05006162,4,Panama,99,80
B05006163,4,Other Central America,0,30
B05006164,3,South America:,16260,1610
B05006165,4,Argentina,1529,374
B05006166,4,Bolivia,584,249
B05006167,4,Brazil,2541,525
B05006168,4,Chile,2583,659
B05006169,4,Colombia,1828,463
B05006170,4,Ecuador,1383,426
B05006171,4,Guyana,0,30
B05006172,4,Peru,3233,924
B05006173,4,Uruguay,152,121
B05006174,4,Venezuela,2370,600
B05006175,4,Other South America,57,55
B05006176,2,Northern America:,2288,393
B05006177,3,Canada,2288,393
B05006178,3,Other Northern America,0,30
